timestamp,spot_price,futures_price,strike,call_chg_oi,call_oi,price,put_oi,put_chg_oi,call_chg_oi_class,call_oi_class,put_oi_class,put_chg_oi_class,highlighted,every_500
2025-06-21 13:28,56252.85,56292.8,-1,0,0,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61300,1.15K,6.88K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61200,-1.10K,8.56K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61100,-30,7.80K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61000,-57.60K,784.24K,,23.36K,500,call-chg-oi-2,call-oi-4,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,60900,-8.04K,29.67K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60800,-1.77K,31.68K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60700,840,40.89K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60600,-4.41K,44.67K,,190,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60500,-61.32K,351.42K,,35,0,call-chg-oi-2,call-oi-2,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,60400,3.16K,50.02K,,155,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60300,-7.65K,52.29K,,120,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60200,10.59K,110.25K,,60,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60100,-4.98K,44.83K,,180,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60000,-56.63K,1.65M,,104.56K,-2.00K,call-chg-oi-2,call-oi-7,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,59900,-17.97K,48.58K,,65,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59800,-18.60K,62.16K,,295,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59700,485,198.00K,,225,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59600,6.36K,74.16K,,230,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59500,-249.19K,719.57K,,1.80K,-175,call-chg-oi-8,call-oi-3,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,59400,-10.71K,57.65K,,125,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59300,-14.46K,49.98K,,300,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59200,-39.87K,59.41K,,590,-60,call-chg-oi-2,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59100,240,55.56K,,850,270,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59000,-343.60K,1.59M,,19.77K,-2.17K,call-chg-oi-10,call-oi-7,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,58900,-10.52K,77.89K,,400,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58800,-134.81K,94.33K,,280,0,call-chg-oi-4,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58700,24.15K,90.50K,,335,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58600,12.07K,79.23K,,320,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58500,-193.39K,1.09M,,15.14K,-4.09K,call-chg-oi-6,call-oi-5,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,58400,-1.32K,93.82K,,180,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58300,10.57K,138.38K,,615,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58200,-39.80K,130.53K,,2.20K,-60,call-chg-oi-2,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58100,26.36K,144.37K,,1.20K,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58000,132.25K,1.73M,,133.38K,-4.17K,call-chg-oi-4,call-oi-8,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,57900,25.41K,132.99K,,2.48K,-110,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57800,725,209.65K,,4.42K,5,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
